Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,Status,Comments
Lough Foyle,Production Area 4 ,Mussels/ Oysters,2021-03-15,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Lough Foyle,Production Area 4 ,Mussels/ Oysters,2021-03-29,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Lough Foyle,Production Area 4 ,Mussels/ Oysters,2021-04-12,No harmful species observed,240,No harmful species observed,Open,
Lough Foyle,Production Area 4 ,Mussels/ Oysters,2021-04-26,No harmful species observed,3400,No harmful species observed,Open,
Strangford,S2 - AFFNI42,Mussels,2021-01-04,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Strangford,S2 - AFFNI42,Mussels,2021-01-19,20,No harmful species observed,No harmful species observed,Open,
Strangford,S2 - AFFNI42,Mussels,2021-02-01,No harmful species observed,No harmful species observed,No harmful species observed,Closed,Bed closed on 03/02/2021 due to a prohibited micro result. 
Strangford,S2 - AFFNI42,Mussels,2021-02-16,No harmful species observed,No harmful species observed,No harmful species observed,Closed,Bed closed on 03/02/2021 due to a prohibited micro result. 
Strangford,S2 - AFFNI42,Mussels,2021-03-01,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Strangford,S2 - AFFNI42,Mussels,2021-03-16,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Strangford,S2 - AFFNI42,Mussels,2021-03-30,No harmful species observed,120,No harmful species observed,Open,
Strangford,S2 - AFFNI42,Mussels,2021-04-13,No harmful species observed,80,No harmful species observed,Open,
Strangford,S2 - AFFNI42,Mussels,2021-04-27,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Strangford,S2 - AFFNI42,Mussels,2021-05-11,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Strangford,S2 - AFFNI42,Mussels,2021-05-25,No harmful species observed,No harmful species observed,No harmful species observed,Open,
Strangford,S2 - AFFNI42,Mussels,2021-06-08,No harmful species observed,80,No harmful species observed,Open,
Strangford,S2 - AFFNI42,Mussels,2021-06-22,60,480,No harmful species observed,Open,
Strangford,S7 - AFFNI76,Mussels/ Oysters,2021-01-18,No harmful species observed,120,No harmful species observed,Oysters Open/Mussels de-classified 01/01/2020,
Strangford,S7 - AFFNI76,Mussels/ Oysters,2021-02-01,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/Mussels de-classified 01/01/2020,
Strangford,S7 - AFFNI76,Mussels/ Oysters,2021-02-16,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/Mussels de-classified 01/01/2020,
Strangford,S7 - AFFNI76,Mussels/ Oysters,2021-03-01,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/Mussels de-classified 01/01/2020,
Strangford,S7 - AFFNI76,Mussels/ Oysters,2021-03-15,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/Mussels de-classified 01/01/2020,
Strangford,S7 - AFFNI76,Mussels/ Oysters,2021-03-29,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/Mussels de-classified 01/01/2020,
Strangford,S7 - AFFNI76,Mussels/ Oysters,2021-04-12,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/Mussels de-classified 01/01/2020,
Strangford,S7 - AFFNI76,Mussels/ Oysters,2021-04-26,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/Mussels de-classified 01/01/2020,
Strangford,S7 - AFFNI76,Mussels/ Oysters,2021-05-10,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/Mussels de-classified 01/01/2020,
Strangford,S7 - AFFNI76,Mussels/ Oysters,2021-05-24,No harmful species observed,40,No harmful species observed,Oysters Open/Mussels de-classified 01/01/2020,
Strangford,S7 - AFFNI76,Mussels/ Oysters,2021-06-07,No harmful species observed,220,No harmful species observed,Oysters Open/Mussels de-classified 01/01/2020,
Strangford,S7 - AFFNI76,Mussels/ Oysters,2021-06-21,No harmful species observed,No harmful species observed,No harmful species observed,Oysters Open/Mussels de-classified 01/01/2020,
